Zone                                           average_time_between_pickups
Riverdale/North Riverdale/Fieldston            19.27                       
Rockaway Park                                  51.78                       
Roosevelt Island                               53.58                       
Rosedale                                       17.74                       
Rossville/Woodrow                              136.71                      
Saint Albans                                   7.16                        
Saint George/New Brighton                      13.31                       
Saint Michaels Cemetery/Woodside               90.6                        
Schuylerville/Edgewater Park                   9.64                        
Seaport                                        14.36                       
Sheepshead Bay                                 9.4                         
SoHo                                           4.89                        
Soundview/Bruckner                             10.48                       
Soundview/Castle Hill                          5.21                        
South Beach/Dongan Hills                       39.15                       
South Jamaica                                  9.0                         
South Ozone Park                               5.61                        
South Williamsburg                             19.28                       
Springfield Gardens North                      14.02                       
Springfield Gardens South                      15.7                        
Spuyten Duyvil/Kingsbridge                     8.84                        
Stapleton                                      16.94                       
Starrett City                                  21.63                       
Steinway                                       6.43                        
Stuy Town/Peter Cooper Village                 13.84                       
Stuyvesant Heights                             3.36                        
Sunnyside                                      5.14                        
Sunset Park East                               13.28                       
Sunset Park West                               6.56                        
Sutton Place/Turtle Bay North                  22.13                       
Times Sq/Theatre District                      2.69                        
TriBeCa/Civic Center                           2.61                        
Two Bridges/Seward Park                        6.18                        
UN/Turtle Bay South                            4.23                        
Union Sq                                       14.75                       
University Heights/Morris Heights              5.74                        
Upper East Side North                          2.2                         
Upper East Side South                          19.57                       
Upper West Side North                          3.32                        
Upper West Side South                          18.83                       
Van Cortlandt Park                             48.07                       
Van Cortlandt Village                          7.16                        
Van Nest/Morris Park                           7.08                        
Washington Heights North                       5.19                        
Washington Heights South                       3.42                        
West Brighton                                  40.64                       
West Chelsea/Hudson Yards                      3.02                        
West Concourse                                 5.48                        
West Farms/Bronx River                         10.35                       
West Village                                   17.35                       
Westchester Village/Unionport                  74.3                        
Westerleigh                                    43.39                       
Whitestone                                     24.06                       
Willets Point                                  474.28                      
Williamsbridge/Olinville                       5.71                        
Williamsburg (North Side)                      23.74                       
Williamsburg (South Side)                      4.06                        
Windsor Terrace                                22.5                        
Woodhaven                                      9.41                        
Woodlawn/Wakefield                             9.39                        
Woodside                                       7.49                        
World Trade Center                             8.42                        
Yorkville East                                 32.59                       
Yorkville West                                 3.38                        
